SentID,Npred,NpredID,Vsup,VsupID,N0Role,N0ID,N0String,N1Role,N1ID,N1String,N2Role,N2ID,N2String
951,turnê,3,-, ,agent-gen, -, - ,-, -, -,-, -, -
952,campanha,17,-, ,agent-gen, -, - ,object-f, 18 19 20, contra a fome ,-, -, -
952,fome,20,-, ,experiencer-gen, -, - ,-, -, -,-, -, -
952,turnê,8,-, ,agent-gen,7, sua ,-, -, -,-, -, -
953,venda,6,-, -,agent-giver, -, -,object-gen, 7 8 9 10 11 12, de o single - Take=the=Time=Out -,-, -, -
955,queda,11,-, ,object-gen, 12 13 14 15 16 17 18 19 20 21 22 23 24 25," de dois sacos , que depois foram parar em a lata de o lixo ",-, -, -,-, -, -
956,barulho,5,causar,9,cause, -, -,-, -, -,-, -, -
956,ruído,18,-, -,cause, -, -,-, -, -,-, -, -
956,queda,21,-, -,object-gen, -, -,-, -, -,-, -, -
957,recomendação,14,receber,12,agent-speaker, -, - ,addressee,1 2 3 4 5 6 7 8," O diretor-geral de a PF , coronel Wilson_Romão",message,  16 17 18 19,  para investigar tudo a_fundo
958,vitória,2,-, ,agent-gen, -, - ,patient,,,-, -, -
960,afastamento,21,-, ,agent-gen, -, - ,patient,22 23 24 25 26 27 28 29 30 31 32 33 34," de Pelé ,  assessor de assuntos internacionais , e de o vice Samir_Abdul_Hack ",object-gen, -, -
964,assembléia,19,realização,16,agent-gen, 20 21 22, de a empresa ,-, -, -,-, -, -
965,anúncio,2,-, ,agent-speaker, -, - ,addressee, -, -,message, -, -
966,briga,5,-, ,agent-gen, 6 7, de família ,co-agent, 6 7, de família ,-, -, -
968,balanço,2,-, ,agent-gen, 3 4 5, de o Eldorado_S/A,object-gen, -, -,-, -, -
968,cargo,18,ocupar,17,object-gen, 8 9 10 11 12 13 14 15," as irmãs Veríssimo , filhas de o fundador ",object-f, -, -,-, -, -
969,acesso,2,sem,1,object-gen,10, elas ,object-gen, 3 4 5 6 7 8, a as contas de o grupo ,-, -, -
970,liberdade,6,-, ,object-gen, 10 11 12 13 14 15, de os que tentam deixar Cuba ,object-f, -, -,-, -, -
970,expectativa,19,-, ,experiencer-gen, 26 27 28 29 30 31 32, a os que ficam em a ilha ,object-f,19 20 21 22 23 24,de « reformas democráticas forçadas »,-, -, -
970,reforma,22,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
971,repetição,8,-, ,object-gen, 9 10 11 12  13 14 15 16 17 18 19 20 21 22 23 24 25 26 27, de a fuga de mais_de 125 mil cubanos em_direção_a a Flórida ocorrida em 1980 a_partir_de o porto de Mariel ,-, -, -,-, -, -
971,fuga,11,-, ,agent-gen, 12 13 14 15 16, de mais_de 125 mil cubanos ,locative-source, 17 18 19, em_direção_a a Flórida ,-, -, -
972,saída,8,-, ,agent-gen, 9 10 11 12 13 14 15 16, de milhares de pessoas insatisfeitas com seu regime ,locative-source, -, -,-, -, -
972,poder,27,-,,object-gen,5,  Fidel_Castro,object-f, -, -,-, -, -
972,regime,16,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
974,experiência,4,com,2,experiencer-gen,1, Profissionais ,object-f, 5 6 8 7 9,em cargos e gerenciais administrativos ,-, -, -
974,cargo,6,-, ,object-gen, -, - ,object-f,7 8 9,gerenciais e administrativos ,-, -, -
974,conquista,30,-, ,agent-gen,29, suas ,object-gen, -, -,-, -, -
974,realização,32,-, ,agent-gen,29, suas ,object-f, -, -,-, -, -
974,carreira,26,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
974,currículo,18,-, ,object-gen, 1 2 3 4 5 6 7 8 9, Profissionais com longa experiência em cargos gerenciais e administrativos ,-, -, -,-, -, -
975,trajetória,11,-, ,agent-gen,10, sua ,-, -, -,-, -, -
975,leitura,24,de,22,agent-gen, -, - ,object-gen,19, currículo ,-, -, -
977,problema,11,ter,9,object-gen, 1 2 3 4 5 6 7 8, As mulheres jornalistas que estão em a tela ,object-f, -, -,-, -, -
979,medo,6,ter,5,experiencer-gen, 2 3 4, nenhuma de elas,object-f, 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38, de não encontrar o carro em a saída de o cinema ou de ser agredida por o guardador - ou de parar em o sinal de trânsito em a volta para casa,-, -, -
979,volta,36,-, -,object-gen, 2 3 4, nenhuma de elas,locative-dest, 37 38, para casa,-, -, -
983,vaga,2,-, -,object-gen, -, -,-, 3 4, para estacionar,-, -, -
984,abertura,9,fazer,7,agent-gen, 2 3 4 5, a Companhia_de_Dança de Deborah_Colker ,object-gen, -, -,-, -, -
986,discurso,2,fazer,3,agent-speaker,11, Arafat ,addressee, -, -,-, -, -
986,jihad,18,-, ,agent-gen, 13 14, os muçulmanos ,object-gen, -, -,-, -, -
987,discurso,2,-, ,agent-speaker, -, - ,addressee, -, -,-, -, -
987,perigo,15,-, ,object-gen, 12 13, o diálogo ,object-f, -, -,-, -, -
987,diálogo,13,-, ,agent-speaker, -, - ,co-agent, -, -,-, -, -
988,expectativa,10,-, ,experiencer-gen, -, - ,object-f, -, -,-, -, -
990,crivo,8,-, ,object-gen, 9 10 11 12 13, de a « Quinzena_dos_Realizadores » ,object-gen, -, -,-, -, -
992,competição,3,-, ,agent-gen, -, - ,co-agent, -, -,-, -, -
996,cansaço,3,-,,experiencer-gen,1, Romênia ,-, -, -,-, -, -
996,viagem,6,-, ,agent-gen, -, - ,locative-dest, -, -,-, -, -
997,cansaço,15,-, ,experiencer-gen,4 5, os romenos,-, -, -,-, -, -
999,viagem,9,-, ,agent-gen, 11 12 13 14,a seleção romena ,locative-dest,10,Los_AngelesDetroitLos_Angeles,-, -, -
1001,jogo,8,-, ,agent-gen, -, - ,co-agent, -, -,-, -, -
1001,manifestação,31,fazer,29,agent-gen, 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28," representantes de as torcidas de os grande times de São_Paulo ( Corinthians , São_Paulo , Palmeiras e Santos )",object-f, 32 33 34, por a paz ,-, -, -
1001,paz,34,-, ,object-gen, -, - ,-, -, -,-, -, -
1002,combate,5,-, ,agent-gen, -, - ,object-f, 6 7 8, a a violência ,-, -, -
1002,violência,8,-, ,agent-gen, -, - ,patient, -, -,-, -, -
1002,criação,15,-, ,agent-creator, -, - ,object-gen, 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37," de a Guarda_Municipal , um grupo de atividades especiais que tem atuado mais em a liberação de áreas tradicionalmente ocupadas por camelôs ",-, -, -
1002,liberação,31,-, ,agent-gen, -, - ,object-gen, 32 33 34 35 36 37, de áreas tradicionalmente ocupadas por camelôs ,-, -, -
1003,venda,14,-, ,agent-giver, -, - ,object-gen, 15 16, de drogas ,,,
1004,necessidade,9,-, ,object-f, 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26," de se jogar com dois volantes meias que também auxiliam em a defesa , Dunga e Mauro_Silva ",-, -, -,-, -, -
1005,caráter,8,-, ,object-gen,6, equipe ,-, -, -,-, -, -
1005,gol,30,-, ,agent-gen, -, - ,-, -, -,-, -, -
1006,funcionamento,2,-, -,object-gen, -, -,-, -, -,-, -, -
1007,pagamento,24,-, ,agent-giver, -, - ,object-gen, 25 26 27, de suas compras ,-, -, -
1007,compra,27,-, ,agent-taker,26, suas ,object-gen, -, -,-, -, -
1008,depósito,23,-, ,agent-giver,,,object-gen, -, -,recipient,,
1008,saque,13,-, ,agent-taker,,,object-gen, -, -,-, -, -
1009,vida,6,-, ,patient, 7 8 9, de os clientes ,-, -, -,-, -, -
1009,custo,13,-, ,object-gen, 14 15 16 17, de a instituição financeira ,-, -, -,-, -, -
1009,objetivo,2,,,experiencer-gen, -, - ,object-f, 4 5 6 7 8 9, facilitar a vida de os clientes ,-, -, -
1010,custo,2,-, -,object-gen, 3 4 5 6 7 8, de o processamento de os cheques,-, -, -,-, -, -
1010,processamento,5,-, -,agent-gen, -, -,object-gen, 6 7 8, de os cheques,-, -, -
1012,reforma,4,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
1016,treinamento,17,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
1017,crítica,21,-, ,agent-speaker,18, Brizola ,topic, 22 23 24 25,Cardoso e Lula ,-, -, -
1019,comício,10,-, ,agent-gen, -, - ,-, -, -,-, -, -
1021,mudança,3,-, ,cause, 4 6 7 11 8 9 10, de « crise » de a meia-idade ,object-gen, -, -,object-gen, -, -
1022,aposentadoria,2,-, ,recipient, -, - ,-, -, -,-, -, -
1022,plano,11,-,,experiencer-gen, , ,object-f, -, -,-, -, -
1022,necessidade,16,-, ,object-gen, , ,object-f, 17 18, de trabalhar ,-, -, -
1023,mudança,3,-, ,agent-gen, -, - ,object-gen, 4 6 7 8 9, em vida de o recém-aposentado ,object-gen, -, -
1023,sensação,13,-, ,experiencer-gen, -, - ,object-f, 14 15 16 17, de perda de capacidade ,-, -, -
1023,capacidade,17,perda,15,object-gen, -, - ,object-f, -, -,-, -, -
1023,vida,6,-, ,patient, 7 8 9, de o recém-aposentado ,-, -, -,-, -, -
1024,mudança,2,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
1024,escolha,35,fazer,36,experiencer-gen, 31 32, as pessoas ,object-f, -, -,-, -, -
1024,vida,40,-, ,object-gen,39, sua ,-, -, -,-, -, -
1025,sensiblização,11,-, ,agent-gen, -, - ,experiencer-gen, -, -,object-f, 12 13 14, para o programa 
1026,resultado,11,-, ,cause, 12 13 14, de o investimento ,object-f, -, -,-, -, -
1026,investimento,14,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
1027,jogo,5,-, ,agent-gen, 6 7 8 9, entre Flamengo e Corinthians ,co-agent, 6 7 8 9, entre Flamengo e Corinthians ,-, -, -
1032,aval,26,ter,25,agent-gen, 28 29 30, de o Tribunal_de_Contas ,object-f, 15 16, o programa ,-, -, -
1033,operação,13,-, ,agent-gen, 14 15 16, de o programa ,-, -, -,-, -, -
1033,licitação,10,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
1035,operação,2,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
1035,apuração,20,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
1037,porte,4,de,2,object-gen,1, Os ,-, -, -,-, -, -
1042,produtividade,3,-, -,object-gen, 4 5 6 7 8 9, de as fábricas de nível internacional,-, -, -,-, -, -
1042,qualidade,22,-, -,object-gen, -, -,-, -, -,-, -, -
1043,produção,4,-, ,agent-creator, -, - ,object-gen, -, -,-, -, -
1043,trabalho,8,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
1044,entrega,5,-, ,agent-giver, -, - ,object-gen,6 7, de mercadorias ,recipient, 8 9 10, para os clientes 
1044,diferença,14,-, ,object-gen, 15 16 17 18 19 20 21 22 23, entre as empresas « world_class » e as concorrentes ,co-object, 15 16 17 18 19 20 21 22 23, entre as empresas « world_class » e as concorrentes ,-, -, -
1045,produção,5,-, ,agent-creator, -, - ,object-gen, -, -,-, -, -
1045,informação,19,-,,agent-speaker, -, - ,addressee,, ,message,,
1049,indefinição,5,-, -,object-f, 6 7 8 9 10 11 12 13, de as regras de conversão de os aluguéis,-, -, -,-, -, -
1049,conversão,10,-, -,agent-gen, -, -,object-gen, 11 12 13, de os aluguéis,object-gen, -, -
1049,aluguel,13,-, -,agent-taker, -, -,object-gen, -, -,-, -, -
1050,critério,13,-, -,experiencer-gen, -, -,object-f, -, -,, -, -
1051,negociação,19,-, ,agent-gen, 20 21 22, entre as partes ,co-agent, 20 21 22, entre as partes ,object-f, -, -
1051,conversão,11,-, ,agent-gen, -, - ,object-gen, -, -,object-gen, -, -
1052,desconto,8,conseguir,5,agent-gen, -, - ,object-gen, 3 4, o inquilino ,object-gen, -, -
1052,mudança,14,-, ,agent-gen, -, - ,object-gen, 15 16 17, de o aluguel ,object-gen, 18 19 20 21 22, de cruzeiros reais para URV 
1053,critério,8,-, ,experiencer-gen, -, - ,object-f, 9 10 11 12, de a conversão automática ,-, -, -
1053,conversão,11,-, ,agent-gen, -, - ,object-gen, -, -,object-gen, -, -
1054,parada,2,-, ,agent-gen, 18 19 20 21 22 23 24 25 26, quem está indo a o Metropolitan por o Central_Park ,locative-dest, 3 4 5 6 7 8 9 10 11, em o Boathouse_Cafe ( East_72 com a Park_Drive_North ),-, -, -
1054,idéia,16,,,experiencer-gen, -, - ,object-f, 1 2 3 4 5 6 7 8 9 10 11, Uma parada em o Boathouse_Cafe (  East_72 com a Park_Drive_North ),-, -, -
1057,cardápio,2,-, ,object-gen, -, - ,-, -, -,-, -, -
1058,liberdade,5,-,,object-gen,, -,object-f, -, -,-, -, -
1061,maestria,3,-, -,object-gen, 4 5, de virtuose,object-f, -, -,-, -, -
1061,rigor,9,-, -,object-gen, -, -,-, -, -,-, -, -
1061,mensagem,15,-, -,agent-speaker, -, -,addressee, -, -,message, -, -
1061,filiação,20,-, -,object-gen, -, -,object-gen, -, -,-, -, -
1062,rentabilidade,8,-, ,object-gen, -, - ,-, -, -,-, -, -
1063,venda,11,-, -,agent-giver, -, -,object-gen, 12 13 14 15 16 17, de carne - in=natura - -,, -, -
1064,meta,2,,,experiencer-gen, -, - ,object-f, 4 5 6 7, chegar a 50 % , -, -, -
1065,expressão,31,de,30,object-gen,27 28 29, os poucos autores ,-, -, -,-, -, -
1066,leitura,14,-, ,agent-gen, -, - ,object-gen, 15 16 17 18 19 20 21 22, de um de os inaugurais romances urbanos brasileiros ,-, -, -
1066,pergunta,31,fazer,32,agent-speaker, -, - ,addressee, -, -,-, -, -
1068,trato,10,dar,9,agent-gen, 1 2 3 4 5 6 7, Os agentes de turismo de o Japão ,object-gen, 11 12 13, a a bola ,-, -, -
1068,tour,16,-, ,agent-gen, -, - ,-, -, -,-, -, -
1069,visita,5,-, ,agent-gen, -, - ,locative-dest, 6 7 8 9 10 11 12 13 14 15 16 17 18 19, a o túmulo de o tricampeão Ayrton_Senna eternamente favorito de 10 entre 10 japoneses ,-, -, -
1070,dívida,17,-, ,object-gen, 18 19 20 21 22 23 24 25 26 27, de as empresas (  transferidas para os novos controladores ),object-gen, -, -,-, -, -
1071,amortização,30,-, ,agent-gen, -, - ,object-gen, 31 32, de dívidas ,-, -, -
1071,dívida,32,-, ,object-gen, -, - ,object-gen, -, -,-, -, -
1071,aporte,41,-, ,agent-giver, -, - ,object-gen,42 43,de capitais,recipient, 44 45 46, a as empresas 
1073,produção,2,-, ,agent-creator, -, - ,object-gen, 3 4,de petróleo ,-, -, -
1074,salto,2,-, ,object-gen, 3 4 5, em a produção,-, -, -,-, -, -
1074,produção,5,-, ,agent-creator, -, - ,object-gen, -, -,-, -, -
1074,sucesso,10,-, ,object-gen, 11 12 13 14 15 16 17, de a privatização de a indústria petrolífera ,-, -, -,-, -, -
1074,privatização,13,-, ,agent-gen, -, - ,object-gen, 14 15 16 17, de a indústria petrolífera ,-, -, -
1075,produção,7,-, ,agent-creator, -, - ,object-gen, 8 9, de petróleo ,-, -, -
1077,preparação,2,-, -,agent-gen, -, -,object-gen, -, -,-, -, -
1077,vôo,5,-, -,agent-gen, -, -,-, -, -,-, -, -
1079,gestão,3,-, ,agent-gen,4, Erundina ,object-gen, -, -,-, -, -
1079,gestão,3,-, ,agent-gen,7 8, de Maluf ,object-gen, -, -,-, -, -
1080,divulgação,9,-, ,agent-speaker, -, - ,message, 10 11 12 13 14 20 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35, de um balanço comparativo entre sua administração 89 a 92 e o primeiro ano de a gestão Paulo_Maluf a a frente de a Prefeitura de São_Paulo ,-, -, -
1080,balanço,12,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
1080,administração,16,-, ,agent-gen,15, sua ,object-gen, -, -,-, -, -
1080,gestão,26,-, ,agent-gen,27, Paulo_Maluf ,object-gen, -, -,-, -, -
1081,queda,6,-, ,object-gen, 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26," em os investimentos em as áreas de saúde , educação e habitação e redução em os salários de a prefeitura ",-, -, -,-, -, -
1081,investimento,9,-, ,agent-gen, -, - ,object-gen, 10 11 12 13 14 15 16 17 18," em as áreas de saúde , educação e habitação ",-, -, -
1081,redução,20,-, ,agent-gen, -, - ,object-gen, 21 22 23 24 25 26, em os salários de a prefeitura ,-, -, -
1081,salário,23,-, ,agent-giver, -, - ,recipient, -, -,-, -, -
1082,pesquisa,2,-, ,agent-gen, 3 4 5 6 8 7, de a Associação_Nacional_de_Agências_de_Viagens ( Abav ),object-f, -, -,-, -, -
1082,implantação,21,-, ,agent-gen, -, - ,object-gen, 22 23 24, de o Plano_Real ,-, -, -
1083,viagem,17,-, ,agent-gen, -, - ,locative-dest, -, -,-, -, -
1083,turismo,19,-, ,agent-gen, -, - ,-, -, -,-, -, -
1083,venda,39,-, ,agent-giver, -, - ,object-gen, 40 41 42, em passagens aéreas ,, -, -
1083,expectativa,11,,,experiencer-gen, -, - ,object-f, 13 14 15 16 18 17 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42," que o mercado de e viagens turismo recupere este ano os mesmos índices favoráveis de 1990 , ano em que foi registrado o maior volume de vendas em passagens aéreas ",-, -, -
1085,seriedade,20,-, ,object-gen, -, - ,-, -, -,-, -, -
1085,pontualidade,22,-, ,object-gen, -, - ,-, -, -,-, -, -
1086,trabalho,12,fazer,10,agent-gen, 4 11, gente seu ,object-f, -, -,-, -, -
1088,decepção,6,-, ,experiencer-gen, 1 2, O tricolor ,object-gen, -, -,-, -, -
1089,força,26,-, ,object-gen,25, sua,-, -, -,-, -, -
1092,título,18,-, ,object-gen, -, - ,-, -, -,-, -, -
1092,poder,53,-, ,object-gen, 55 56 57, a o time,object-f, -, -,-, -, -
1092,proteção,60,-, ,object-gen, 62 63 64, a a defesa ,-, -, -,-, -, -
1096,respeito,2,-, ,experiencer-gen,,,object-gen, 3 4 5, a a história,-, -, -
1096,mal,11,fazer,15,cause, 13 14, a UDN ,object-gen, 16 17 18, a o país ,-, -, -
1096,moralismo,23,-, ,object-gen,22, seu ,-, -, -,-, -, -
1096,amoralidade,28,-, ,object-gen,27, sua ,-, -, -,-, -, -
1097,paixão,46,-, ,experiencer-gen,38 39 40, uma imprensa independente ,object-gen, -, -,-, -, -
1097,vocação,50,-, ,object-gen,49, sua ,object-f, 51 52 53 54 55 56 57 58 59 60 61 62 63 64, para renunciar a o Estado de Direito a o toque de a primeira corneta ,-, -, -
1097,política,13,-, ,agent-gen, 15 16 17, de a UDN ,-, -, -,-, -, -
1097,toque,60,-, ,agent-gen, -, - ,object-gen, 61 62 63 64, de a primeira corneta ,-, -, -
1098,direito,10,-, ,object-gen,8, Itamar_Franco,object-f, 11 12 13 14, de fazer seu sucessor ,-, -, -
1099,pecado,9,cometer,6,agent-gen,3, lhe ,-, -, -,-, -, -
1102,vontade,3,,,experiencer-gen,2, Nossa ,object-f,5 6, mudar antes ,-, -, -
1107,encontro,16,-, ,agent-gen, 17 18 19 20 21 22, de a Associação_Nacional_de_Pós-graduação_em_Ciências_Sociais ( Anpocs ),co-agent, -, -,-, -, -
1109,vôo,2,-, ,agent-gen, -, - ,locative-dest, -, -,-, -, -
1111,amor,7,-, -,experiencer-gen,6, meu,object-gen, -, -,-, -, -
1112,emoção,15,-, ,experiencer-gen,14, suas ,-, -, -,-, -, -
1113,pergunta,4,fazer,3,agent-speaker,,,addressee, -, -,-, -, -
1113,amor,10,-, -,experiencer-gen, -, -,object-gen, -, -,-, -, -
1114,amor,4,-, -,experiencer-gen, -, -,object-gen, -, -,-, -, -
1115,sentimento,6,-, ,experiencer-gen, -, - ,-, -, -,-, -, -
1116,caminho,26,-, ,agent-gen,25, seu ,-, -, -,-, -, -
1116,reflexo,11,-, ,object-gen,10, seu ,-, -, -,-, -, -
1117,treino,11,-, ,agent-gen, -, - ,object-gen, -, -,object-f, -, -
1118,ataque,14,-, ,agent-gen, , ,object-gen, -, -,-, -, -
1119,desempenho,6,-, ,object-gen, , ,-, -, -,-, -, -
1120,proeza,17,efetivar,15,agent-gen, 6 7 8 9 10 11 12, vastos setores de as classes médias ocidentais ,-, -, -,-, -, -
1120,proeza,17,realizar,15,agent-gen,29 30 31 32,por as gerações precedentes,-, -, -,-, -, -
1121,investimento,11,-, ,agent-gen, -, - ,object-gen, 12 13 14 15, em ações e imóveis ,-, -, -
1121,ensino,1,-, ,object-gen, -, - ,-, -, -,-, -, -
1121,transmissão,19,-, ,agent-giver, -, - ,object-gen, 20 21 22 23 24 25 26, de o patrimônio familiar de os pais,recipient,27 28 29,para os filhos
1122,insegurança,4,-, ,object-gen, -, - ,-, -, -,-, -, -
1122,incerteza,7,-, ,experiencer-gen, -, - ,-, -, -,-, -, -
1122,integrismo,18,-, ,object-gen, -, - ,-, -, -,-, -, -
1122,racismo,21,-, ,object-gen, -, - ,-, -, -,-, -, -
1122,intolerância,24,-, ,object-gen, -, - ,object-gen, -, -,-, -, -
1125,atenção,21,dispensar,25,experiencer-gen, 26 27 28, por a mãe ,object-gen,23, lhe ,-, -, -
1126,úlcera,20,ter,15,patient, 1 2 3 4, Júlio ( Othon_Bastos ),-, -, -,-, -, -
1128,curso,6,-, -,agent-speaker, -, -,addressee, -, -,topic, -, -
1133,escândalo,9,-, ,agent-gen, -, - ,-, -, -,-, -, -
1133,cobertura,2,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
1134,comportamento,6,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
1134,predisposição,16,-, ,object-gen, -, - ,object-f, -, -,-, -, -
1134,preconceito,19,-, ,experiencer-gen, -, - ,object-gen, -, -,-, -, -
1134,decisão,33,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
1135,ação,16,-, ,agent-gen,15, sua ,object-f, -, -,-, -, -
1135,interesse,24,-, ,experiencer-gen, -, - ,object-gen, -, -,-, -, -
1136,particularismo,21,-, ,object-gen, 2 3 4, a democracia contemporânea ,-, -, -,-, -, -
1141,foto,6,-, ,agent-creator, -, - ,object-gen, 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22," de os bastidores de os lançamentos de moda em registros de Claudia_Guimarães , de a Folha_Imagem ",-, -, -
1141,lançamento,12,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
1141,registro,16,-, ,agent-gen, 17 18 19 20 21 22," de Claudia_Guimarães , de a Folha_Imagem ",object-gen, -, -,-, -, -
1142,negócio,5,-, ,agent-gen, -, - ,co-agent, -, -,-, -, -
1143,vencimento,4,-, ,object-gen, 6 7, as opções ,-, -, -,-, -, -
1143,mercado,15,-, ,object-gen,16, acionário ,-, -, -,-, -, -
1144,mercado,2,-, -,object-gen,3, acionário,-, -, -,-, -, -
1147,expectativa,6,-, ,experiencer-gen, 1 2, O mercado ,object-f, 7 8 9 13 10 11 12 14 15 16 17 18 19 20 21, de aprovação de socorro a bancos em dificuldades ,-, -, -
1147,aprovação,8,-, ,agent-gen, 10 11 12, por o Conselho_Monetário_Nacional ,object-gen, 14 15 16 17 18 19 20 21, de medidas de socorro a bancos em dificuldades ,-, -, -
1147,medida,15,-, ,agent-gen, -, - ,object-f, 16 17, de socorro ,-, -, -
1147,socorro,17,-, ,agent-gen, -, - ,object-gen, 18 19 20 21, a bancos em dificuldades ,-, -, -
1147,dificuldade,21,em,20,experiencer-gen,19, bancos ,object-f, -, -,-, -, -
1148,alta,6,em,5,object-gen, 1 2 3, O índice Bovespa ,-, -, -,-, -, -
1148,baixa,20,em,19,object-gen, 1 2 3, O índice Bovespa ,-, -, -,-, -, -
1148,funcionamento,35,-, ,object-gen, 36 37 38 39, de o sistema financeiro ,-, -, -,-, -, -
1149,inflação,22,-, ,object-gen, -, - ,-, -, -,-, -, -
1150,direito,10,obter,8,object-gen, 1 2, Muitas empresas ,object-f, 11 12 13 14 15 16 17 18, de contabilizar essa corrosão inflacionária em seus balanços ,-, -, -
1150,corrosão,14,-, ,object-gen, 16 17 18, em seus balanços ,-, -, -,-, -, -
1150,balanço,18,-, ,agent-gen,17, seus ,object-gen, -, -,-, -, -
1152,vencimento,16,com,15,object-gen,14, negócios ,-, -, -,-, -, -
1152,negócio,14,-, ,agent-gen, -, - ,co-agent, -, -,-, -, -
1153,expectativa,11,-,,experiencer-gen, -, - ,object-f, 12 13 14 15 16 17 18 19," de valorização de 7,10 % a o mês ",-, -, -
1153,valorização,13,-, ,object-gen, 1 2 3 4, O índice Bovespa futuro ,-,,,-, -, -
1161,acordo,3,-,,agent-gen, 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,"Luxemburgo , Bélgica , Holanda , Itália , França , Alemanha , Espanha , Grécia e Portugal ",object-f,,,co-agent, 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,"Luxemburgo , Bélgica , Holanda , Itália , França , Alemanha , Espanha , Grécia e Portugal"
1163,comprovação,7,-, ,agent-gen, -, - ,object-f, 8 9 10 11 12 13, de « meios de subsistência »,-, -, -
1163,permanência,16,-, ,object-gen, 17 18 19, de o turista ,object-gen, -, -,-, -, -
1163,subsistência,12,-, ,object-gen, -, - ,-, -, -,-, -, -
1164,permissão,2,-, ,experiencer-gen, -, - ,patient,5,brasileiros,object-f, 3 4 5 6 7 8 9 10," de entrada de brasileiros , sem o visto "
1164,entrada,4,-, ,agent-gen, 6 7 8 9 10," brasileiros , sem o visto ",locative-dest, -, -,-, -, -
1164,negociação,15,-, ,agent-speaker, 16 17 18 19 20, entre Portugal e a União_Européia ,co-agent, 16 17 18 19 20, entre Portugal e a União_Européia ,-, -, -
1167,segurança,32,-, ,object-gen, -, - ,-, -, -,-, -, -
1168,experiência,9,-, -,experiencer-gen, 10 11 12 13, de algum outro país,object-f, -, -,-, -, -
1169,característica,9,ter,7,object-gen,,,-, -, -,-, -, -
1172,dieta,5,fazer,4,agent-gen, , ,-, -, -,-, -, -
1172,ginástica,7,fazer,4,agent-gen, , ,-, -, -,-, -, -
1172,exercício,10,fazer,4,agent-gen, , ,-, -, -,-, -, -
1173,lipo,5,-, ,agent-gen, -, - ,patient, -, -,-, -, -
1174,cirurgia,2,-, ,agent-gen, -, - ,patient, -, -,-, -, -
1175,anestesia,3,tomar,2,agent-gen, -, - ,patient,1, Silvia ,-, -, -
1176,atendimento,9,-, ,agent-gen, -, - ,patient, -, -,-, -, -
1179,remate,14,realizar,15,agent-taker, -, - ,object-gen, -, -,-, -, -
1180,mercado,7,-, ,object-gen, 8 9 10, de gado leiteiro ,-, -, -,-, -, -
1180,surpresa,15,-, ,experiencer-gen, -, - ,-, -, -,-, -, -
1180,preço,21,,,object-gen,24 25 26,o holandês puro-sangue,,,,,,
1180,preço,21,atingir,20,object-gen, 17 18 19, o gado girolando ,-, -, -,-, -, -
1180,leilão,29,-, ,agent-gen, -, - ,object-gen,,,-, -, -
1182,venda,16,-, ,agent-giver, -, - ,object-gen, 17 18 19 20 21 22 23 24 25 26 27 28, de metade de as 30 vacas holandesas que foram apresentadas para negócio ,,,
1183,tiro,13,levar,10,agent-gen, -, - ,patient, 7 8 9, todas as vítimas ,-, -, -
1185,crime,2,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
1189,assistência,8,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
1190,contrato,2,-, ,agent-gen, -, - ,object-f, -, -,co-agent, -, -
1191,receita,5,-, ,object-gen, 6 7 8, de a ferrovia ,-, -, -,-, -, -
1191,despesa,12,-, ,object-gen, -, - ,object-gen,,,-, -, -
1194,velocidade,1,-, -,object-gen, -, -,-, -, -,-, -, -
1195,percurso,2,-, ,agent-gen, -, - ,-, -, -,-, -, -
1196,velocidade,12,em,10,object-gen, , ,-, -, -,-, -, -
1196,espera,21,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
